source,item,qty
4596,blackcurrant,1
1429,kale,6
858,fig,2
50,spaghetti squash,5
3043,broccoflower,3
3778,mamey,4
1146,black-eyed pea,5
4419,kale,6
3809,blackberry,4
4109,tat soi,6
2941,patty pan,4
1682,apple,2
3527,apricot,6
2914,tat soi,4
4771,blackcurrant,1
708,tat soi,2
1636,apricot,5
4197,patty pan,1
4048,navy bean,3
2955,goji berry,1
4860,damson,1
3070,cherimoya,1
2540,raisin,3
895,cherimoya,4
1258,raisin,3
1400,lentils,1
4783,banana,1
4914,green bean,2
423,kale,2
1150,raisin,3
1282,bilberry,4
3090,banana,1
3310,azuki bean,3
2984,coconut,4
1796,fig,2
2489,blueberry,5
2413,broccoflower,3
2561,banana,4
1399,tubers,4
4660,white radish,5
773,gem squash,5
542,tat soi,3
2315,patty pan,2
4227,white radish,4
773,goji berry,4
2184,fig,4
410,currant,6
4244,corn salad,5
1223,banana,2
530,spinach,3
2498,bilberry,4
392,blackcurrant,2
287,navy bean,2
2617,currant,4
4701,feijoa,3
1675,frisee,4
2745,marjoram,1
2308,lentils,3
1976,coconut,6
1222,corn salad,6
483,apricot,4
2508,grapefruit,4
2023,black-eyed pea,3
949,daikon,2
2870,raisin,6
2489,blackcurrant,5
911,feijoa,3
3485,radish,6
2694,avocado,2
2503,tat soi,1
1735,date,6
1171,goji berry,2
254,spinach,6
2276,white radish,4
2022,tat soi,4
4716,topinambur,1
1360,frisee,2
3609,cabbage,3
1655,spinach,6
2806,cloudberry,6
1554,banana,1
2229,azuki bean,1
2562,navy bean,6
2158,blackcurrant,2
61,bilberry,5
4997,patty pan,4
4049,raisin,5
1659,navy bean,5
611,coconut,4
523,banana,2
2874,navy bean,2
1421,lentils,6
3839,blackberry,3
1066,apple,2
1087,corn salad,3
2573,cherimoya,6
2935,blackberry,1
742,currant,6
1152,tat soi,4
2967,black-eyed pea,6
1724,currant,3
2129,apricot,2
3357,avocado,6
4924,navy bean,2
2833,azuki bean,4
4261,corn salad,3
2987,cherimoya,3
52,raisin,4
3099,grapefruit,6
2596,spinach,6
4197,lentils,4
3641,apple,2
3799,spaghetti squash,2
1395,corn salad,3
3733,daikon,1
4167,tabasco pepper,1
3405,fig,1
2685,spaghetti squash,4
4286,fig,4
4276,feijoa,3
4128,watercress,4
3624,navy bean,6
3649,bilberry,4
3259,azuki bean,6
2707,corn salad,4
3536,dragonfruit,5
4632,marjoram,3
4853,watercress,1
484,tabasco pepper,2
3231,tat soi,2
3045,fig,4
1155,fig,2
2757,mustard green,3
4758,daikon,6
826,avocado,1
2080,bilberry,3
4616,spinach,5
3511,cloudberry,4
3875,tabasco pepper,4
4231,watercress,2
3372,cloudberry,1
3327,white radish,1
1788,watercress,2
3522,azuki bean,6
3950,apricot,1
912,blueberry,4
4626,bilberry,2
4197,tat soi,4
2561,spaghetti squash,4
3708,cherimoya,2
2866,apple,5
1231,patty pan,2
2837,azuki bean,1
4540,spinach,4
3578,kale,5
4307,blackberry,2
2924,raisin,2
1896,broccoflower,1
1721,damson,4
939,mushroom,3
4976,marjoram,1
1646,kale,1
1703,tabasco pepper,6
1654,damson,3
4562,blackberry,1
226,kale,1
3419,cloudberry,5
1533,blackberry,1
2782,blackberry,6
4904,avocado,1
4835,avocado,2
2280,corn salad,1
2542,radish,5
1419,daikon,6
942,date,4
1662,azuki bean,5
3119,spaghetti squash,5
964,damson,2
3307,blackberry,1
4465,tat soi,3
2316,currant,2
448,banana,6
2208,navy bean,6
3314,patty pan,2
2154,grapefruit,6
1435,blackberry,6
1792,apple,6
80,bilberry,5
4893,navy bean,4
2608,blackberry,1
3305,goji berry,1
545,yam,5
4727,raisin,5
2777,watercress,4
3981,cabbage,6
2930,azuki bean,5
3280,cherimoya,5
4802,wasabi,4
4469,grapefruit,5
951,avocado,6
373,date,4
3592,tat soi,5
1134,apricot,4
3583,apple,3
3761,grapefruit,1
2121,apple,5
701,blackcurrant,2
1882,black-eyed pea,6
2254,apricot,1
1515,frisee,3
323,potato,3
3881,broccoflower,2
2580,cloudberry,6
3412,broccoflower,1
2757,currant,2
670,avocado,2
4544,apricot,4
2028,damson,1
1112,dragonfruit,1
369,marjoram,5
1307,fig,2
308,cloudberry,6
1066,fig,5
3429,spinach,6
3369,bilberry,1
3843,damson,1
3177,dragonfruit,3
2789,date,5
11,white radish,2
81,kale,3
4639,cabbage,2
2388,cherimoya,1
4267,frisee,1
5000,grapefruit,4
2142,potato,4
4048,frisee,1
4247,date,2
2558,blackberry,4
1628,apple,3
2502,corn salad,3
4936,kale,1
1479,goji berry,4
1112,tubers,2
4956,white radish,6
4352,kale,4
4538,date,6
1018,dragonfruit,2
3197,tubers,1
270,lentils,6
790,tabasco pepper,2
4104,grapefruit,6
4344,black-eyed pea,6
1208,kale,6
164,banana,2
2833,cherimoya,6
1251,spaghetti squash,6
4558,caraway,2
378,spaghetti squash,6
2013,cherimoya,1
1593,black-eyed pea,2
4742,currant,4
1031,frisee,6
780,tubers,3
1212,fig,1
3522,blackberry,3
1896,currant,2
1023,coconut,5
600,tabasco pepper,1
2623,fig,1
4421,fig,1
2719,fig,3
3163,marjoram,4
2813,raisin,1
1884,corn salad,2
2691,cabbage,2
2051,corn salad,2
2992,coconut,6
3337,avocado,2
4923,spaghetti squash,1
2780,bilberry,1
4149,cherimoya,2
2643,feijoa,5
690,blackberry,5
2394,blackberry,1
1932,tat soi,5
600,kale,4
2719,feijoa,6
2440,tat soi,2
2408,broccoflower,5
251,goji berry,5
3898,kale,4
738,spaghetti squash,4
3029,white radish,6
2813,marjoram,2
4617,bilberry,1
1801,blackberry,4
2168,blackcurrant,2
3977,raisin,6
3253,raisin,3
2550,cherimoya,5
4169,spaghetti squash,5
1593,broccoflower,3
1700,kohlrabi,1
2295,daikon,6
2453,white radish,3
1050,corn,3
4438,cloudberry,2
3512,tubers,4
2412,corn salad,1
4549,watercress,3
3422,hubbard squash,2
3480,patty pan,2
2174,banana,3
2013,watercress,1
123,cloudberry,1
4297,marjoram,1
4247,dragonfruit,6
1525,azuki bean,1
4102,patty pan,4
1921,cloudberry,3
2682,daikon,1
2027,grapefruit,3
4786,daikon,3
4674,tat soi,3
2564,marjoram,1
1209,parsnip,2
2134,lentils,2
278,damson,5
4310,azuki bean,5
1748,avocado,6
642,feijoa,6
4986,spaghetti squash,5
1514,radish,5
500,lentils,5
4787,spinach,6
4542,goji berry,4
997,fig,4
4364,rosemary,2
1640,banana,6
1581,tubers,3
2249,daikon,3
1865,banana,2
3655,feijoa,3
1920,navy bean,3
2009,marjoram,5
3104,lentils,4
1890,kale,1
4279,azuki bean,2
4802,bilberry,3
946,radish,6
4743,raisin,6
3151,avocado,3
1424,broad beans,5
1374,damson,2
876,spaghetti squash,5
2626,currant,6
998,blackberry,1
2022,navy bean,5
3105,date,2
2230,patty pan,4
4994,cherimoya,2
997,frisee,1
3873,kohlrabi,5
4132,radish,6
2201,radish,4
1260,fig,1
494,dragonfruit,1
2889,frisee,1
1648,date,5
7,paprika,2
1376,broccoflower,4
4574,cherimoya,3
1652,feijoa,1
2349,marjoram,1
1559,cloudberry,2
2535,apple,4
635,cabbage,1
2374,blueberry,3
2936,broccoflower,5
2329,spinach,2
221,coconut,5
2561,coconut,6
4591,marjoram,5
2307,goji berry,2
128,navy bean,4
3716,kale,4
4268,fig,6
1668,feijoa,1
2956,cherimoya,6
2325,lentils,5
1808,lentils,3
4653,marjoram,5
2479,cherimoya,4
1990,lentils,5
1639,broccoflower,5
3170,dragonfruit,5
644,radish,1
1870,lemon grass,2
3503,amaranth,4
3837,azuki bean,4
2623,tat soi,3
4091,bilberry,4
2331,corn salad,4
1774,tubers,6
363,mung bean,3
3512,blackberry,4
2934,corn salad,5
1796,marjoram,1
3899,watercress,4
3964,frisee,4
2059,coconut,6
1991,cherimoya,5
2897,spinach,3
2562,grapefruit,1
4687,feijoa,3
1655,blueberry,3
4625,avocado,3
955,avocado,3
3747,date,4
4040,apricot,2
2746,black-eyed pea,6
2396,blueberry,2
4219,apple,4
3113,white radish,2
4260,radish,6
409,blackcurrant,2
2523,damson,5
